target,papers,coauthors,"NI (0,1)","Time (0,1)"
A105,2,8,1,1
A106,23,45,1,1
A107,23,24,1,1
A108,8,19,1,1
A109,21,91,1,1
A110,21,51,1,1
A111,12,47,1,1
A112,18,93,1,1
A113,19,48,1,1
A114,36,61,1,1
A115,21,34,1,1
A116,18,74,1,1
A117,14,39,1,1
A118,26,135,1,1
A119,69,56,1,1
A120,24,90,1,1
A121,24,79,1,1
A122,7,34,1,1
A123,11,10,1,1
A124,6,15,1,1
A125,18,66,1,1
A126,16,100,1,1
A127,7,24,1,1
A128,3,26,1,1
A129,36,67,1,1
A130,13,18,1,1
A131,24,104,1,1
A132,51,49,1,1
A133,25,94,1,1
A134,40,92,1,1
A135,80,115,1,1
A136,4,6,1,1
A137,38,93,1,1
A138,22,36,1,1
A139,17,23,1,1
A140,10,11,1,1
A141,11,22,1,1
A142,15,40,1,1
A143,4,5,1,1
A144,4,9,1,1
A145,3,5,1,1
A146,62,146,1,1
A147,1,2,1,1
A148,77,199,1,1
A149,68,178,1,1
A150,24,91,1,1
A151,2,7,1,1
A152,15,14,1,1
A153,47,167,1,1
A154,33,128,1,1
A155,25,87,1,1
A156,6,19,1,1
A157,3,0,1,1
A158,14,20,1,1
A159,12,50,1,1
A160,15,82,1,1
A161,2,26,1,1
A162,7,18,1,1
A163,28,114,1,1
A164,20,53,1,1
A165,7,38,1,1
A166,12,34,1,1
A167,33,40,1,1
A168,21,80,1,1
A169,8,20,1,1
A170,16,35,1,1
A171,14,40,1,1
A172,12,58,1,1
A173,110,112,1,1
A174,57,113,1,1
A175,15,68,1,1
A176,17,50,1,1
A177,9,39,1,1
A178,17,85,1,1
A179,10,49,1,1
A180,3,6,1,1
A181,26,62,1,1
A182,10,31,1,1
A183,61,164,1,1
A184,41,133,1,1
A185,42,137,1,1
A186,15,63,1,1
A187,5,25,1,1
A188,14,34,1,1
A189,16,45,1,1
A190,28,40,1,1
A191,6,22,1,1
A192,56,99,1,1
A193,3,13,1,1
A194,37,150,1,1
A195,57,80,1,1
A196,2,11,1,1
A197,33,82,1,1
A198,32,51,1,1
A199,8,65,1,1
A200,3,13,1,1
A201,22,51,1,1
A202,85,255,1,1
A203,31,86,1,1
A204,3,2,1,1
A205,13,52,1,1
A206,15,32,1,1
A207,18,85,1,1
A208,9,23,1,1
E1,0,0,0,1
E2,6,6,0,1
E3,18,4,0,1
E4,37,19,0,1
E5,27,14,0,1
E6,84,43,0,1
E7,33,28,0,1
E8,4,4,0,1
E9,19,25,0,1
E10,10,5,0,1
E11,58,12,0,1
E12,36,25,0,1
E13,13,6,0,1
E14,12,8,0,1
E15,48,17,0,1
E16,23,16,0,1
E17,57,11,0,1
E18,22,16,0,1
E19,0,0,0,1
E20,32,18,0,1
E21,36,12,0,1
E22,21,16,0,1
E23,0,3,0,1
E24,135,28,0,1
E25,29,10,0,1
E26,0,2,0,1
E27,0,0,0,1
E28,0,1,0,1
E29,11,7,0,1
E30,17,11,0,1
E31,23,39,0,1
E32,27,12,0,1
E33,13,8,0,1
E34,4,9,0,1
E35,24,24,0,1
E36,0,11,0,1
E37,45,13,0,1
E38,10,5,0,1
E39,23,25,0,1
E40,7,8,0,1
E41,4,1,0,1
E42,72,16,0,1
E43,13,19,0,1
E44,108,77,0,1
E45,7,5,0,1
E46,27,10,0,1
E47,38,24,0,1
E48,12,2,0,1
E49,8,5,0,1
E50,17,16,0,1
E51,20,14,0,1
E52,0,0,0,1
E53,14,11,0,1
E54,22,4,0,1
E55,7,3,0,1
E56,16,14,0,1
E57,79,14,0,1
E58,2,2,0,1
E59,5,4,0,1
E60,10,10,0,1
